,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"What If I Told You That I Love You","Ali Gatie",9941461,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
58,"My Time",BTS,9934338,https://open.spotify.com/track/4vTgx6h4seHvkuFh84JXYP
59,SUGAR,BROCKHAMPTON,9707392,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
60,Diosa,"Myke Towers",9651597,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
61,BOP,DaBaby,9613143,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
62,"Know Your Worth",Khalid,9597009,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
63,"WHATS POPPIN","Jack Harlow",9575063,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
64,"10,000 Hours (with Justin Bieber)","Dan + Shay",9555597,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
65,"when the party's over","Billie Eilish",9493192,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
66,"lovely (with Khalid)","Billie Eilish",9384142,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
67,"00:00 (Zero O’Clock)",BTS,9372219,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
68,"HIGHEST IN THE ROOM","Travis Scott",9258096,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
69,"Ballin' (with Roddy Ricch)",Mustard,9246356,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
70,"Me Gusta",Shakira,9245187,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
71,"Lose You To Love Me","Selena Gomez",9220744,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
72,China,"Anuel AA",9032360,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
73,"Beautiful People (feat. Khalid)","Ed Sheeran",8951637,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
74,Friends,BTS,8822365,https://open.spotify.com/track/7w05lsU2VLSeiT8Nukrv5M
75,"We are Bulletproof : the Eternal",BTS,8516710,https://open.spotify.com/track/44WLOqH7QayQOQdeUHeKUK
76,"Lucid Dreams","Juice WRLD",8467670,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
77,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",8452812,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
78,Shallow,"Lady Gaga",8423832,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
79,"Inner Child",BTS,8312399,https://open.spotify.com/track/4BKOjYosPhw334moS3wlbO
80,Rare,"Selena Gomez",8009517,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
81,"No Me Conoce - Remix","Jhay Cortez",8005883,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
82,"Watermelon Sugar","Harry Styles",8002244,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
83,"LA CANCIÓN","J Balvin",7850621,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
84,Moon,BTS,7850129,https://open.spotify.com/track/1xfXXujIlLZAx5wpu46Nyk
85,"Boy With Luv (feat. Halsey)",BTS,7836975,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
86,Callaita,"Bad Bunny",7810932,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
87,"No Idea","Don Toliver",7808215,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
88,"7 rings","Ariana Grande",7713677,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
89,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",7643623,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
90,Heartless,"The Weeknd",7564213,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
91,Lalala,Y2K,7544881,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
92,"OUT WEST (feat. Young Thug)",JACKBOYS,7541188,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
93,"Never Seen the Rain","Tones and I",7506168,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
94,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",7481654,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
95,"Alone, Pt. II","Alan Walker",7396697,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
96,"It's You","Ali Gatie",7258138,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
97,Medusa,"Jhay Cortez",7222083,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
98,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,7209729,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
99,"Old Town Road - Remix","Lil Nas X",7043546,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
100,"Goodbyes (Feat. Young Thug)","Post Malone",7037168,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
101,Woah,"Lil Baby",6995411,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
102,"Ayy Macarena",Tyga,6901340,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
103,"Old Me","5 Seconds of Summer",6894881,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
104,"Outro : Ego",BTS,6857808,https://open.spotify.com/track/3r9FFjLrAIQjoR8pSHVPC9
105,Happier,Marshmello,6844513,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
106,"How Do You Sleep?","Sam Smith",6720527,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
107,"Whine Up","Nicky Jam",6670596,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
108,"Modern Loneliness",Lauv,6656281,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
109,"Interlude : Shadow",BTS,6655856,https://open.spotify.com/track/2Nib4r0saYQf2pUV4RFDhl
110,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,6652494,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
111,Tattoo,"Rauw Alejandro",6577458,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
112,Believer,"Imagine Dragons",6553440,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
113,"CITY OF ANGELS",24kGoldn,6490097,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
114,Blanco,"J Balvin",6478707,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
